id,gender,vetek,age,Total_income,Total_km,month
1,f,1.4,37.8,1988829,11002,january
2,m,1.0,59.8,125744,9603,january
3,m,4.7,43.4,5087726,8010,january
4,m,11.7,53.9,81650,8007,january
5,m,4.7,34.1,4478309,9762,january
6,m,15.1,29.8,956217,9837,january
7,m,14.1,35.1,67270,7302,january
8,m,13.2,33.7,147875,11829,january
9,m,8.9,44.7,1741298,9097,january
10,m,6.4,39.8,83142,8104,january
11,m,215.0,33.4,7065270,8995,january
12,m,15.6,53.3,4071329,8034,january
13,m,15.2,37.8,2413613,10238,january
14,m,1.7,51.0,96876,8919,january
15,m,4.2,29.3,3692169,13355,january
16,m,8.0,42.2,3874787,9563,january
17,m,18.5,120.3,149215,11745,january
18,m,16.0,30.7,3213688,8375,january
19,m,12.4,120.3,108512,9547,january
20,m,18.1,46.4,10199417,10888,january
21,m,7.5,27.1,130091,9874,january
22,m,13.8,44.5,113435,11726,january
23,m,322.0,45.4,2098258,8455,january
24,m,12.8,27.4,3079095,10769,january
25,m,14.6,29.1,6307213,7048,january
26,f,2.7,41.9,93527,8643,january
27,m,12.8,48.7,5698199,8307,january
28,m,4.4,59.6,125544,10612,january
29,m,10.7,40.8,4516889,7453,january
30,m,9.2,40.4,1886139,8946,january
31,unknown,16.8,31.0,1243628,6210,january
32,m,2.4,49.8,98065,8309,january
33,m,15.2,49.4,590186,9306,january
34,m,18.6,120.3,1481269,9180,january
35,m,4.0,47.7,11851415,10789,january
36,m,16.3,31.8,1772652,15220,january
37,m,12.4,38.1,99601,8752,january
38,unknown,5.9,45.7,4823921,9999,january
39,m,1.1,53.1,123433,11809,january
40,m,9.0,30.7,151457,11929,january
41,m,10.0,31.2,61311,8546,january
42,m,13.9,50.7,1917613,9173,january
43,m,1.2,51.7,5308868,7296,january
44,m,8.9,55.4,912018,9962,january
45,m,11.4,34.7,51962,6354,january
46,m,13.7,29.6,3242313,9646,january
47,m,5.3,35.1,85187,8090,january
48,m,11.9,57.5,3259679,8780,january
49,m,3.0,39.4,83832,7588,january
50,m,9.0,47.5,1721088,7230,january
51,unknown,6.9,33.8,2631938,8575,january
52,m,5.2,49.6,3292393,8692,january
53,m,7.9,50.8,115773,12260,january
54,m,1.3,51.5,107127,11193,january
55,m,2.7,28.3,14573371,9155,january
56,m,14.0,32.9,1573289,9986,january
57,m,16.7,59.4,98742,8959,january
58,m,6.9,55.5,5203166,9762,january
59,m,8.1,41.1,2689919,9088,january
60,m,11.0,47.8,100413,7288,january
61,m,16.4,28.7,2861235,8023,january
62,m,4.3,28.3,121062,9017,january
63,m,12.5,55.9,76616,7762,january
64,m,5.6,40.4,100145,8134,january
65,unknown,15.7,41.2,121616,11344,january
66,m,18.9,34.3,3012268,10615,january
67,m,130.0,54.7,79861,7456,january
68,f,351.0,29.5,4584853,14728,january
69,m,11.5,51.4,5736125,13217,january
70,f,4.7,53.3,413423,7593,january
71,m,1.0,34.1,495147,8990,january
72,m,11.5,41.1,78278,8811,january
73,m,14.7,42.9,976675,7613,january
74,m,15.0,31.6,101029,8969,january
75,m,6.5,41.7,129380,9190,january
76,unknown,11.5,41.1,99563,11883,january
77,m,8.9,57.8,114335,11165,january
78,m,7.9,30.4,2407170,7651,january
79,m,4.9,36.0,71950,6427,january
80,m,17.5,52.0,71477,8568,january
81,m,14.4,36.4,3918938,8860,january
82,m,4.0,56.2,113841,9144,january
83,m,8.2,60.0,105481,8231,january
84,unknown,18.8,30.8,5959277,8958,january
85,m,16.7,33.1,3514180,8266,january
86,unknown,5.4,120.3,65400,8309,january
87,m,15.4,42.4,87419,9812,january
88,m,18.0,38.0,68489,8788,january
89,m,7.5,37.2,2553949,10667,january
90,m,11.5,54.5,4352128,7330,january
91,m,2.7,27.9,1877756,9580,january
92,m,15.1,36.0,146817,9081,january
93,f,14.3,32.8,211809,10290,january
94,m,9.2,120.3,3483615,7451,january
95,m,14.3,49.4,200969,11102,january
96,m,9.4,31.5,1098918,6524,january
97,m,11.0,56.5,2857542,9043,january
98,m,10.5,33.4,88058,9683,january
99,m,5.7,49.7,6424190,11648,january
100,m,17.2,32.5,174468,9242,january
101,m,313.0,120.3,1289586,9971,january
102,m,11.6,49.6,3142502,9052,january
103,m,11.8,58.7,75336,9562,january
104,unknown,5.7,51.4,113401,9382,january
105,m,2.2,42.7,3996323,8665,january
106,m,1.2,36.7,1495275,9439,january
107,m,10.0,44.0,87340,9592,january
108,m,2.9,46.1,3660371,11059,january
109,m,7.3,39.9,73014,8807,january
110,m,15.7,53.7,86520,10021,january
111,m,275.0,39.7,345392,8342,january
112,m,322.0,49.1,108645,9001,january
113,m,16.9,120.3,74040,8398,january
114,m,337.0,55.5,3012292,11511,january
115,m,17.6,30.6,63168,8034,january
116,m,10.6,37.2,1822945,13111,january
